Location,Feature Combination,Metric,Value
New Delhi,meteorological_only,Non-zero Values Percentage,49.06648451730419
New Delhi,meteorological_only,Mean Absolute Error (Non-zero),170.30135254475468
New Delhi,meteorological_only,Mean Squared Error (Non-zero),47661.45561763979
New Delhi,meteorological_only,Root Mean Squared Error (Non-zero),218.31503754354574
New Delhi,meteorological_only,R² Score (Non-zero),0.3333143164989202
New Delhi,meteorological_only,Mean Absolute Percentage Error (Non-zero),177.64900394570887
New Delhi,meteorological_only,Mean Squared Percentage Error (Non-zero),1909.4692617417743
Shimla,meteorological_only,Mean Absolute Error (All),99.44969081465254
Shimla,meteorological_only,Mean Squared Error (All),26971.27826065977
Shimla,meteorological_only,Root Mean Squared Error (All),164.22934652692183
Shimla,meteorological_only,R² Score (All),0.6519714783792387
Shimla,meteorological_only,Mean Absolute Percentage Error (All),12854734128550.537
Shimla,meteorological_only,Mean Squared Percentage Error (All),8.853319745592782e+24
Shimla,meteorological_only,Non-zero Values Percentage,49.90867579908676
Shimla,meteorological_only,Mean Absolute Error (Non-zero),173.50682080762712
Shimla,meteorological_only,Mean Squared Error (Non-zero),52267.35806638615
Shimla,meteorological_only,Root Mean Squared Error (Non-zero),228.6205547766564
Shimla,meteorological_only,R² Score (Non-zero),0.41455933301887216
Shimla,meteorological_only,Mean Absolute Percentage Error (Non-zero),158.31041424138454
Shimla,meteorological_only,Mean Squared Percentage Error (Non-zero),2341.071110582741
Srinagar,meteorological_only,Mean Absolute Error (All),136.9424093034683
Srinagar,meteorological_only,Mean Squared Error (All),40598.109515131815
Srinagar,meteorological_only,Root Mean Squared Error (All),201.48972558205497
Srinagar,meteorological_only,R² Score (All),0.585008322173581
Srinagar,meteorological_only,Mean Absolute Percentage Error (All),47602457200181.6
Srinagar,meteorological_only,Mean Squared Percentage Error (All),1.3353879458443948e+26
Srinagar,meteorological_only,Non-zero Values Percentage,49.41620879120879
Srinagar,meteorological_only,Mean Absolute Error (Non-zero),180.7907856324839
Srinagar,meteorological_only,Mean Squared Error (Non-zero),55132.17367969081
Srinagar,meteorological_only,Root Mean Squared Error (Non-zero),234.80241412662437
Srinagar,meteorological_only,R² Score (Non-zero),0.36696982241921594
Srinagar,meteorological_only,Mean Absolute Percentage Error (Non-zero),259.52506645670763
Srinagar,meteorological_only,Mean Squared Percentage Error (Non-zero),23007.29509377351
