Location,Feature Combination,Metric,Value
Jodhpur,Relative Humidity,Non-zero Values Percentage,48.99267399267399
Jodhpur,Relative Humidity,Mean Absolute Error (All),55.34470225719312
Jodhpur,Relative Humidity,Mean Squared Error (All),12014.218202383678
Jodhpur,Relative Humidity,Root Mean Squared Error (All),109.60938920723753
Jodhpur,Relative Humidity,R² Score (All),0.8049965938353463
Jodhpur,Relative Humidity,Mean Absolute Percentage Error (All),2591125697758.413
Jodhpur,Relative Humidity,Mean Squared Percentage Error (All),8.36196440093288e+23
Jodhpur,Pressure,Mean Absolute Error (Non-zero),106.00832827703975
Jodhpur,Pressure,Mean Squared Error (Non-zero),24487.309405619115
Jodhpur,Pressure,Root Mean Squared Error (Non-zero),156.4842145573128
Jodhpur,Pressure,R² Score (Non-zero),0.6178300395206267
Jodhpur,Pressure,Mean Absolute Percentage Error (Non-zero),131.52939545898434
Jodhpur,Pressure,Mean Squared Percentage Error (Non-zero),1306.357297463404
Jodhpur,Pressure,Non-zero Values Percentage,48.99267399267399
Jodhpur,Pressure,Mean Absolute Error (All),54.60578889501428
Jodhpur,Pressure,Mean Squared Error (All),12047.743260679408
Jodhpur,Pressure,Root Mean Squared Error (All),109.76221235324755
Jodhpur,Pressure,R² Score (All),0.8044524468547097
Jodhpur,Pressure,Mean Absolute Percentage Error (All),2669474217224.9937
Jodhpur,Pressure,Mean Squared Percentage Error (All),5.0755594007040355e+23
Jodhpur,Precipitable Water,Mean Absolute Error (Non-zero),104.45588544450491
Jodhpur,Precipitable Water,Mean Squared Error (Non-zero),22826.98141575406
Jodhpur,Precipitable Water,Root Mean Squared Error (Non-zero),151.08600668412035
Jodhpur,Precipitable Water,R² Score (Non-zero),0.6437425426772176
Jodhpur,Precipitable Water,Mean Absolute Percentage Error (Non-zero),127.44448937200306
Jodhpur,Precipitable Water,Mean Squared Percentage Error (Non-zero),1133.7112655060273
Jodhpur,Precipitable Water,Non-zero Values Percentage,48.99267399267399
Jodhpur,Precipitable Water,Mean Absolute Error (All),52.894489377238976
Jodhpur,Precipitable Water,Mean Squared Error (All),11227.158123034587
Jodhpur,Precipitable Water,Root Mean Squared Error (All),105.95828482489978
Jodhpur,Precipitable Water,R² Score (All),0.8177714072891958
Jodhpur,Precipitable Water,Mean Absolute Percentage Error (All),1718757955314.1162
Jodhpur,Precipitable Water,Mean Squared Percentage Error (All),4.360953564592361e+23
Jodhpur,Wind Direction,Mean Absolute Error (Non-zero),107.38044857647026
Jodhpur,Wind Direction,Mean Squared Error (Non-zero),24500.605811832233
Jodhpur,Wind Direction,Root Mean Squared Error (Non-zero),156.5266936079346
Jodhpur,Wind Direction,R² Score (Non-zero),0.6176225243970654
Jodhpur,Wind Direction,Mean Absolute Percentage Error (Non-zero),114.06968084324993
Jodhpur,Wind Direction,Mean Squared Percentage Error (Non-zero),756.0051081212417
Jodhpur,Wind Direction,Non-zero Values Percentage,48.99267399267399
Jodhpur,Wind Direction,Mean Absolute Error (All),55.31771225806653
Jodhpur,Wind Direction,Mean Squared Error (All),12067.230330007878
Jodhpur,Wind Direction,Root Mean Squared Error (All),109.85094596774248
Jodhpur,Wind Direction,R² Score (All),0.8041361512097327
Jodhpur,Wind Direction,Mean Absolute Percentage Error (All),2709159155181.401
Jodhpur,Wind Direction,Mean Squared Percentage Error (All),6.372839838677841e+23
Jodhpur,Wind Speed,Mean Absolute Error (Non-zero),107.95017880852396
Jodhpur,Wind Speed,Mean Squared Error (Non-zero),25084.642514072337
Jodhpur,Wind Speed,Root Mean Squared Error (Non-zero),158.38131996568387
Jodhpur,Wind Speed,R² Score (Non-zero),0.6085075465235721
Jodhpur,Wind Speed,Mean Absolute Percentage Error (Non-zero),115.204133626226
Jodhpur,Wind Speed,Mean Squared Percentage Error (Non-zero),785.0905040147838
Jodhpur,Wind Speed,Non-zero Values Percentage,48.99267399267399
Jodhpur,Wind Speed,Mean Absolute Error (All),56.11020646977235
Jodhpur,Wind Speed,Mean Squared Error (All),12350.34894806533
Jodhpur,Wind Speed,Root Mean Squared Error (All),111.13212383494401
Jodhpur,Wind Speed,R² Score (All),0.7995408380616096
Jodhpur,Wind Speed,Mean Absolute Percentage Error (All),3222527291660.0054
Jodhpur,Wind Speed,Mean Squared Percentage Error (All),6.071181891816964e+23
Jodhpur,all,Mean Absolute Error (Non-zero),105.4245298494524
Jodhpur,all,Mean Squared Error (Non-zero),23003.335618887548
Jodhpur,all,Root Mean Squared Error (Non-zero),151.6685056921428
Jodhpur,all,R² Score (Non-zero),0.6409902076727669
Jodhpur,all,Mean Absolute Percentage Error (Non-zero),128.91565728853885
Jodhpur,all,Mean Squared Percentage Error (Non-zero),1200.8109677757902
Jodhpur,all,Non-zero Values Percentage,48.99267399267399
Jodhpur,all,Mean Absolute Error (All),53.06259267397853
Jodhpur,all,Mean Squared Error (All),11292.568133142313
Jodhpur,all,Root Mean Squared Error (All),106.2664958166134
Jodhpur,all,R² Score (All),0.8167097339823352
Jodhpur,all,Mean Absolute Percentage Error (All),1412296456590.1924
Jodhpur,all,Mean Squared Percentage Error (All),2.2618905940076847e+23
Jodhpur,meteorological_only,Mean Absolute Error (Non-zero),156.98328580825685
Jodhpur,meteorological_only,Mean Squared Error (Non-zero),42573.94355428201
Jodhpur,meteorological_only,Root Mean Squared Error (Non-zero),206.33454280435453
Jodhpur,meteorological_only,R² Score (Non-zero),0.3355545088241735
Jodhpur,meteorological_only,Mean Absolute Percentage Error (Non-zero),245.0807886113918
Jodhpur,meteorological_only,Mean Squared Percentage Error (Non-zero),7405.641080651634
Jodhpur,meteorological_only,Non-zero Values Percentage,48.99267399267399
Jodhpur,meteorological_only,Mean Absolute Error (All),94.22413376099925
Jodhpur,meteorological_only,Mean Squared Error (All),23160.43513563325
Jodhpur,meteorological_only,Root Mean Squared Error (All),152.1855286669309
Jodhpur,meteorological_only,R² Score (All),0.6240817618238415
Jodhpur,meteorological_only,Mean Absolute Percentage Error (All),17313824322092.379
Jodhpur,meteorological_only,Mean Squared Percentage Error (All),2.3023217642588258e+25
New Delhi,ghi_only,Mean Absolute Error (Non-zero),135.59406613550541
New Delhi,ghi_only,Mean Squared Error (Non-zero),34642.51381130471
New Delhi,ghi_only,Root Mean Squared Error (Non-zero),186.12499512774932
New Delhi,ghi_only,R² Score (Non-zero),0.5167944100516431
New Delhi,ghi_only,Mean Absolute Percentage Error (Non-zero),144.81195901812828
New Delhi,ghi_only,Mean Squared Percentage Error (Non-zero),1282.7515959162108
New Delhi,ghi_only,Non-zero Values Percentage,49.107142857142854
New Delhi,ghi_only,Mean Absolute Error (All),68.33191062867995
New Delhi,ghi_only,Mean Squared Error (All),17063.09209551583
New Delhi,ghi_only,Root Mean Squared Error (All),130.62577117673155
New Delhi,ghi_only,R² Score (All),0.7334136245414495
