Location,Feature Combination,Metric,Individual Value,Joint Value,GNN Value,Better Approach
Shimla,Precipitable Water,Mean Squared Error (Non-zero),27638.992015414973,29866.53282693287,28641.15973435335,individual
Shimla,Pressure,Mean Squared Error (Non-zero),29019.80866266441,31126.76577337117,28641.15973435335,gnn
Shimla,ghi_only,Root Mean Squared Error (Non-zero),171.7718669393741,176.02059025537028,169.2369928069905,gnn
Shimla,Wind Speed,Root Mean Squared Error (Non-zero),169.15022753794202,173.61151963054436,169.2369928069905,individual
Shimla,meteorological_only,Root Mean Squared Error (Non-zero),222.5883734511312,228.6205547766564,169.2369928069905,gnn
Shimla,all,Root Mean Squared Error (Non-zero),163.72335606771864,172.45437902124863,169.2369928069905,individual
Shimla,Wind Direction,Root Mean Squared Error (Non-zero),170.20326929658333,174.89083334207177,169.2369928069905,gnn
Shimla,Relative Humidity,Root Mean Squared Error (Non-zero),171.7818130300793,176.18155853989714,169.2369928069905,gnn
Shimla,Temperature,Root Mean Squared Error (Non-zero),166.61013064497178,173.86096349822566,169.2369928069905,individual
Shimla,Precipitable Water,Root Mean Squared Error (Non-zero),166.2497880161505,172.81936473362256,169.2369928069905,individual
Shimla,Pressure,Root Mean Squared Error (Non-zero),170.352013967151,176.427791952887,169.2369928069905,gnn
Shimla,ghi_only,Mean Absolute Error (All),62.56570382893154,66.00248059043874,26.58715447905215,gnn
Shimla,Wind Speed,Mean Absolute Error (All),62.14989109941048,65.1067255041949,26.58715447905215,gnn
Shimla,meteorological_only,Mean Absolute Error (All),89.62391187226297,99.44969081465254,26.58715447905215,gnn
Shimla,all,Mean Absolute Error (All),60.336992155495714,65.9617804690311,26.58715447905215,gnn
Shimla,Wind Direction,Mean Absolute Error (All),61.85056260135941,68.30638297241028,26.58715447905215,gnn
Shimla,Relative Humidity,Mean Absolute Error (All),61.94429981674785,66.3573506231787,26.58715447905215,gnn
Shimla,Temperature,Mean Absolute Error (All),62.12403353937772,65.36727010181576,26.58715447905215,gnn
Shimla,Precipitable Water,Mean Absolute Error (All),60.57789049514672,68.2672048884984,26.58715447905215,gnn
Shimla,Pressure,Mean Absolute Error (All),61.30741849355992,67.0096694722103,26.58715447905215,gnn
Srinagar,ghi_only,Non-zero Values Percentage,48.46611721611722,49.41620879120879,19.75087332230189,joint
Srinagar,Wind Speed,Non-zero Values Percentage,48.46611721611722,49.41620879120879,19.75087332230189,joint
Srinagar,meteorological_only,Non-zero Values Percentage,48.46611721611722,49.41620879120879,19.75087332230189,joint
Srinagar,all,Non-zero Values Percentage,48.46611721611722,49.41620879120879,19.75087332230189,joint
Srinagar,Wind Direction,Non-zero Values Percentage,48.46611721611722,49.41620879120879,19.75087332230189,joint
Srinagar,Relative Humidity,Non-zero Values Percentage,48.46611721611722,49.41620879120879,19.75087332230189,joint
Srinagar,Temperature,Non-zero Values Percentage,48.46611721611722,49.41620879120879,19.75087332230189,joint
Srinagar,Precipitable Water,Non-zero Values Percentage,48.46611721611722,49.41620879120879,19.75087332230189,joint
Srinagar,Pressure,Non-zero Values Percentage,48.46611721611722,49.41620879120879,19.75087332230189,joint
Srinagar,ghi_only,Mean Squared Percentage Error (Non-zero),226.8267454090752,291.5401134786097,195.18490941308607,gnn
Srinagar,Wind Speed,Mean Squared Percentage Error (Non-zero),207.69968902978016,277.8541108203019,195.18490941308607,gnn
Srinagar,meteorological_only,Mean Squared Percentage Error (Non-zero),4867.277031387458,23007.29509377351,195.18490941308607,gnn
Srinagar,all,Mean Squared Percentage Error (Non-zero),400.81608992806446,323.7651212446018,195.18490941308607,gnn
Srinagar,Wind Direction,Mean Squared Percentage Error (Non-zero),233.4704891557319,325.169079614958,195.18490941308607,gnn
Srinagar,Relative Humidity,Mean Squared Percentage Error (Non-zero),284.9801172572481,287.4712149955694,195.18490941308607,gnn
Srinagar,Temperature,Mean Squared Percentage Error (Non-zero),300.6861712025957,319.7559927063189,195.18490941308607,gnn
Srinagar,Precipitable Water,Mean Squared Percentage Error (Non-zero),347.9841970148466,351.99309349381434,195.18490941308607,gnn
Srinagar,Pressure,Mean Squared Percentage Error (Non-zero),310.44479602323827,291.1109571695947,195.18490941308607,gnn
